anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
1000,"Managers, nfd","Managers, nfd",Managers nfd,4,1
1110,"Chief Executives, General Managers and Legislators, nfd","Chief Executives, General Managers and Legislators, nfd","Chief Executives, General Managers and Legislators nfd",4,1
1111,Chief Executives and Managing Directors,Chief Executives and Managing Directors,Chief Executives and Managing Directors,4,0
1112,General Managers,General Managers,General Managers,4,0
1113,Legislators,Legislators,Legislators,4,0
1210,"Farmers and Farm Managers, nfd","Farmers and Farm Managers, nfd",Farmers and Farm Managers nfd,4,1
1211,Aquaculture Farmers,Aquaculture Farmers,Aquaculture Farmers,4,0
1212,Crop Farmers,Crop Farmers,Crop Farmers,4,0
1213,Livestock Farmers,Livestock Farmers,Livestock Farmers,4,0
1214,Mixed Crop and Livestock Farmers,Mixed Crop and Livestock Farmers,Mixed Crop and Livestock Farmers,4,0
1300,"Specialist Managers, nfd","Specialist Managers, nfd",Specialist Managers nfd,4,1
1311,"Advertising, Public Relations and Sales Managers","Advertising, Public Relations and Sales Managers","Advertising, Public Relations and Sales Managers",4,0
1320,"Business Administration Managers, nfd","Business Administration Managers, nfd",Business Administration Managers nfd,4,1
1321,Corporate Services Managers,Corporate Services Managers,Corporate Services Managers,4,0
1322,Finance Managers,Finance Managers,Finance Managers,4,0
1323,Human Resource Managers,Human Resource Managers,Human Resource Managers,4,0
1324,Policy and Planning Managers,Policy and Planning Managers,Policy and Planning Managers,4,0
1325,Research and Development Managers,Research and Development Managers,Research and Development Managers,4,0
1330,"Construction, Distribution and Production Managers, nfd","Construction, Distribution and Production Managers, nfd","Construction, Distribution and Production Managers nfd",4,1
1331,Construction Managers,Construction Managers,Construction Managers,4,0
1332,Engineering Managers,Engineering Managers,Engineering Managers,4,0
1333,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers",4,0
1334,Manufacturers,Manufacturers,Manufacturers,4,0
1335,Production Managers,Production Managers,Production Managers,4,0
1336,"Supply, Distribution and Procurement Managers","Supply, Distribution and Procurement Managers",Supply and Distribution Managers,4,0
1340,"Education, Health and Welfare Services Managers, nfd","Education, Health and Welfare Services Managers, nfd","Education, Health and Welfare Services Managers nfd",4,1
1341,Child Care Centre Managers,Child Care Centre Managers,Child Care Centre Managers,4,0
1342,Health and Welfare Services Managers,Health and Welfare Services Managers,Health and Welfare Services Managers,4,0
1343,School Principals,School Principals,School Principals,4,0
1344,Other Education Managers,Other Education Managers,Other Education Managers,4,0
1351,ICT Managers,ICT Managers,ICT Managers,4,0
1390,"Miscellaneous Specialist Managers, nfd","Miscellaneous Specialist Managers, nfd",Miscellaneous Specialist Managers nfd,4,1
1391,Commissioned Officers (Management),Commissioned Officers (Management),Commissioned Officers (Management),4,0
1392,Senior Non-commissioned Defence Force Members,Senior Non-commissioned Defence Force Members,Senior Non-commissioned Defence Force Members,4,0
